id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,assist,keyPass,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/13/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value,qualifier/16/value,qualifier/17/value,qualifier/19/id,qualifier/19/qualifierId,qualifier/19/value
2712349771,14,5,1,0,58,aljua8crr0vkwit0j3m59jw9j,1,43.4,-1.2,2024-08-24T14:01:09.956Z,2024-08-24T14:58:13Z,adg5dfvzxjrzlz1n2jsfeyx3o,M. Agger,,,5167328983,347,,5167329039,233,6,5167328981,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712349873,15,1,1,1,16,aljua8crr0vkwit0j3m59jw9j,1,31.1,0.0,2024-08-24T14:01:27.892Z,2024-08-24T16:49:51Z,3361cs2j60yxzy9mir80byqc5,A. Oggesen,,,5167329443,141,2.5,5167329447,213,0.13,5167329441,140,47.3,5167329439,56,Back,5167329445,212,17.2,5167329437,107,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712349911,16,1,1,1,19,aljua8crr0vkwit0j3m59jw9j,0,48.9,3.1,2024-08-24T14:01:31.220Z,2024-08-24T16:49:55Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5167329585,140,58.0,5167329583,56,Right,5167329589,212,11.3,5167329587,141,12.0,5167329591,213,0.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712349981,7,8,1,1,21,59as3grjvj19voay31j3yfgni,1,45.1,74.7,2024-08-24T14:01:33.401Z,2024-08-24T16:50:07Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5168693535,383,,5168693259,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350111,8,61,1,1,22,59as3grjvj19voay31j3yfgni,1,45.1,74.7,2024-08-24T14:01:33.593Z,2024-08-24T14:59:23Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5167330577,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350133,9,50,1,1,23,59as3grjvj19voay31j3yfgni,1,49.3,81.4,2024-08-24T14:01:34.932Z,2024-08-24T15:00:03Z,78kzajya12k4sm0ebfl37d6ok,D. Castillo,,,5167330707,56,Back,5167330711,286,,5167330809,233,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350093,17,7,1,1,23,aljua8crr0vkwit0j3m59jw9j,1,50.7,18.6,2024-08-24T14:01:34.933Z,2024-08-24T16:50:17Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5168694277,384,,5167330773,233,9,5167330473,56,Right,5167330477,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350113,18,1,1,1,24,aljua8crr0vkwit0j3m59jw9j,1,54.5,10.0,2024-08-24T14:01:36.116Z,2024-08-24T14:01:37Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167330591,56,Right,5167330599,213,3.08,5167330593,140,50.1,5167330597,212,4.6,5167330595,141,10.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350273,19,1,1,1,25,aljua8crr0vkwit0j3m59jw9j,1,49.1,10.3,2024-08-24T14:01:36.868Z,2024-08-24T14:01:42Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5167331381,141,13.1,5167331383,212,11.5,5167331387,213,0.17,5167331379,140,59.9,5167331377,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350313,20,1,1,1,30,aljua8crr0vkwit0j3m59jw9j,1,76.7,3.7,2024-08-24T14:01:42.180Z,2024-08-24T14:01:43Z,1902oagnhlo7x9xpumxvg1t78,L. Björklund,,,5167331569,140,70.6,5167331571,141,2.0,5167331567,56,Right,5167331573,212,6.5,5167331575,213,3.32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350387,21,1,1,1,32,aljua8crr0vkwit0j3m59jw9j,1,68.0,4.1,2024-08-24T14:01:43.716Z,2024-08-24T14:01:46Z,3ejggtt1du1cui3wc1f8oqx62,L. Qamili,,,5167331931,140,86.4,5167331933,141,19.2,5167331937,213,0.49,5167331935,212,21.9,5167331929,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350413,22,1,1,1,34,aljua8crr0vkwit0j3m59jw9j,0,89.4,18.8,2024-08-24T14:01:46.325Z,2024-08-24T14:01:47Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167332049,56,Center,5167332051,140,89.9,5167332057,213,1.42,5167332053,141,24.0,5167332055,212,3.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350425,10,61,1,1,35,59as3grjvj19voay31j3yfgni,1,9.6,72.3,2024-08-24T14:01:47.313Z,2024-08-24T14:01:47Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5167332125,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350525,11,3,1,1,37,59as3grjvj19voay31j3yfgni,0,18.6,56.4,2024-08-24T14:01:49.397Z,2024-08-24T16:50:38Z,bwfg9frq2ecbzg7wlzqjtnv2s,P. Bravo,,,5168696067,465,,5167332575,285,,5167332783,233,23,5167332573,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350543,23,7,1,1,37,aljua8crr0vkwit0j3m59jw9j,0,81.4,43.6,2024-08-24T14:01:49.398Z,2024-08-24T16:50:41Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5167332653,286,,5168696335,385,,5167332695,233,11,5167332651,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350689,12,12,1,1,40,59as3grjvj19voay31j3yfgni,1,15.0,51.4,2024-08-24T14:01:51.641Z,2024-08-24T14:01:54Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5167333299,56,Back,5167333305,212,33.7,5167333393,167,,5167333301,140,0.0,5167333303,141,8.9,5167333307,213,4.17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350699,13,6,1,1,41,59as3grjvj19voay31j3yfgni,0,6.5,29.4,2024-08-24T14:01:53.093Z,2024-08-24T16:50:58Z,a87w6l9zsbahdi4knm1347zs9,M. Bech,,,5167333587,56,Back,5167333589,73,,5167333697,233,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712350687,24,6,1,1,41,aljua8crr0vkwit0j3m59jw9j,1,93.5,70.6,2024-08-24T14:01:53.093Z,2024-08-24T14:24:59Z,5j9d1plbsd5ic01r3ggziutwp,R. Vinderslev,,,5167333481,56,Center,5167333483,73,,5167333637,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712351979,25,1,1,2,17,aljua8crr0vkwit0j3m59jw9j,0,99.7,99.3,2024-08-24T14:02:28.916Z,2024-08-24T16:50:54Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167339817,155,,5167339811,6,,5167339835,213,4.53,5167339825,56,Center,5167339819,223,,5167339833,212,27.3,5167339827,140,94.9,5167339801,2,,5167339831,141,59.9,5168697377,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712609065,813,44,1,2,18,59as3grjvj19voay31j3yfgni,1,7.2,40.1,2024-08-24T14:02:30.184Z,2024-08-24T17:00:56Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5168736219,233,821,5168706885,285,,5168706881,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712609069,821,44,1,2,18,aljua8crr0vkwit0j3m59jw9j,0,92.8,59.9,2024-08-24T14:02:30.185Z,2024-08-24T16:52:58Z,czpstoiy12awqpasz573ckp91,D. Grétarsson,,,5168706907,233,813,5168706901,56,Center,5168706905,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712352601,16,61,1,2,18,59as3grjvj19voay31j3yfgni,1,7.9,40.6,2024-08-24T14:02:30.393Z,2024-08-24T14:59:45Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5167342923,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712352795,17,6,1,2,19,59as3grjvj19voay31j3yfgni,0,1.8,34.6,2024-08-24T14:02:30.876Z,2024-08-24T16:53:14Z,c3sp1x0shf2b24rl5ike6v0iy,Lee Han-Beom,,,5167580201,233,26,5167343891,73,,5167343889,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712352245,26,6,1,2,19,aljua8crr0vkwit0j3m59jw9j,1,98.2,65.4,2024-08-24T14:02:30.876Z,2024-08-24T14:24:59Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167580135,233,17,5167341579,73,,5167341577,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712353005,27,1,1,2,45,aljua8crr0vkwit0j3m59jw9j,0,99.5,99.5,2024-08-24T14:02:56.564Z,2024-08-24T16:53:06Z,a8opuarwq9byw73nhfgvo9nca,K. Ingason,,,5167344909,1,,5167344881,2,,5168707489,20,,5167344883,6,,5167344891,56,Center,5167344907,213,4.57,5167344887,223,,5167344899,141,51.2,5167345079,233,18,5167344895,140,94.9,5167344903,212,33.2,5167344885,155,,,,,,,,,,,,,,,,,,,,,,,,,
2712353041,18,11,1,2,47,59as3grjvj19voay31j3yfgni,1,3.8,49.7,2024-08-24T14:02:58.664Z,2024-08-24T16:53:23Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,,5167345047,56,Back,5167345137,233,27,5167345049,88,,5168708563,378,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712353221,19,1,1,2,51,59as3grjvj19voay31j3yfgni,0,16.2,41.5,2024-08-24T14:03:02.665Z,2024-08-24T14:03:06Z,7yim2aepctujr2m4p20a97755,E. Ólafsson,,,5167345911,212,46.5,5167345913,213,6.16,5167345889,123,,5167345897,56,Center,5167345907,141,33.0,5167345903,140,60.1,5167345991,287,,5167345915,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712353305,28,1,1,2,54,aljua8crr0vkwit0j3m59jw9j,0,40.7,73.9,2024-08-24T14:03:06.308Z,2024-08-24T14:03:19Z,5x8064b3yr7txk0czddfjtffu,S. Emini,,,5167346275,212,8.4,5167346277,213,1.08,5167346273,141,84.8,5167346269,56,Back,5167346267,3,,5167346271,140,44.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712353421,20,1,1,2,55,59as3grjvj19voay31j3yfgni,1,57.9,10.4,2024-08-24T14:03:07.496Z,2024-08-24T14:03:10Z,bcscjb9jdgu4ims9n3vwuj5k9,E. Chilufya,,,5167346905,141,3.2,5167346909,212,15.6,5167346915,213,5.96,5167346901,140,72.0,5167346897,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2712353447,21,61,1,2,58,59as3grjvj19voay31j3yfgni,0,69.8,5.4,2024-08-24T14:03:10.372Z,2024-08-24T15:00:38Z,djlyi0ad4x1p0k4thn8n0axw4,D. Osorio,,,5167347047,56,Right,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
