id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/11/value,qualifier/8/value,qualifier/12/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/16/value,qualifier/15/value
2822657383,8,10,1,0,28,e3k8yw2rbmphyfu5htn4yi5jk,1,10.6,41.5,2025-06-14T23:06:49.300Z,2025-06-14T23:07:01Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5771210793,233,13,5771210519,56,Back,5771210517,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657407,9,6,1,0,29,e3k8yw2rbmphyfu5htn4yi5jk,0,0.0,34.2,2025-06-14T23:06:50.808Z,2025-06-15T16:19:27Z,3s1a50dskuehneuuy9b1nxg4,J. Akpunonu,,,5771210693,73,,5771210955,233,14,5771210691,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657387,14,6,1,0,29,2n3wgr89m7jl8tmioemit2pgq,1,100.0,65.8,2025-06-14T23:06:50.808Z,2025-06-14T23:07:08Z,5r88subg9jy8zg4y97tzwzxm1,K. Edwards,,,5771210881,73,,5771210879,56,Center,5771210927,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657517,15,1,1,1,0,2n3wgr89m7jl8tmioemit2pgq,1,99.5,99.5,2025-06-14T23:07:21.127Z,2025-06-15T16:19:30Z,6tesoh4ckbbkisphokig9yqz8,E. Samadia,1.0,,5771211789,154,,5771211421,213,4.60,5771211411,224,,5771211419,212,32.4,5771211409,155,,5771211413,56,Center,5771211405,2,,5771211415,140,96.1,5771211423,1,5771211407,6,,5771211417,141,52.2,5771211787,210,5772350277,72,,,,,,,13,,,,,,,,,,,
2822657525,16,44,1,1,2,2n3wgr89m7jl8tmioemit2pgq,1,93.7,51.0,2025-06-14T23:07:23.664Z,2025-06-15T16:19:45Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5771211501,233,10,5771211461,56,Center,5771211463,286,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657529,10,44,1,1,2,e3k8yw2rbmphyfu5htn4yi5jk,0,6.3,49.0,2025-06-14T23:07:23.665Z,2025-06-15T16:19:47Z,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,,,5771211509,233,16,5771211483,56,Back,5771211485,285,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657527,17,13,1,1,3,2n3wgr89m7jl8tmioemit2pgq,1,92.7,48.3,2025-06-14T23:07:23.984Z,2025-06-15T16:20:16Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5771211639,328,,5771211633,15,,5771211801,29,,5771211475,56,Center,5771211635,17,,5771211811,103,58.3,5771211809,102,49.2,5771211813,230,98.1,5771211805,55,5771211815,231,51.3,5771211803,154,,5771211631,25,5771211799,85,,,,,,,,15,,,,,,,,,,
2822657571,12,5,1,1,4,e3k8yw2rbmphyfu5htn4yi5jk,1,-1.0,50.5,2025-06-14T23:07:25.384Z,2025-06-15T16:19:51Z,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,,,5771211703,233,18,5771211683,346,,5771211681,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657559,18,5,1,1,4,2n3wgr89m7jl8tmioemit2pgq,0,101.0,49.5,2025-06-14T23:07:25.384Z,2025-06-15T16:19:50Z,9izknjlz6zunwjpo4u94q855g,M. Dieng,,,5771211627,346,,5771211625,56,Center,5771211719,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2822657537,11,43,1,1,6,e3k8yw2rbmphyfu5htn4yi5jk,1,0.0,0.0,2025-06-14T23:07:27.923Z,2025-06-14T23:07:32Z,dw8iyfupgsqkt8ogxssmtss4q,M. Edwards,,,5771211657,144,56,5771211533,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
