id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/8/value,qualifier/9/id,qualifier/9/qualifierId,qualifier/9/value,qualifier/10/id,qualifier/10/qualifierId,qualifier/10/value,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/13/id,qualifier/13/qualifierId,qualifier/14/id,qualifier/14/qualifierId,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/11/value,qualifier/12/value,qualifier/13/value,qualifier/14/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/16/value,qualifier/17/id,qualifier/17/qualifierId
2784786037,19,4,1,1,47,8cfkisxf1fkxdqtt6tx1tup48,0,55.8,36.8,2025-03-07T18:02:11.259Z,2025-03-07T19:01:05Z,4m7gr5z6b40dj02yrmlwgeluc,S. Larsen,,,5562375959,152,,5562375963,285,,5562375981,233,20,5562375957,56,Center,5562375955,13,,5562375961,265,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786227,21,1,1,2,5,ajtb177oqwawkdwbqhldmq6mx,1,40.1,71.5,2025-03-07T18:02:29.194Z,2025-03-07T18:02:31Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5562376867,5,,5562376877,212,10.5,5562376873,140,49.5,5562376875,141,66.4,5562376871,56,Back,5562376869,152,,5562376879,213,5.95,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786273,22,1,1,2,7,ajtb177oqwawkdwbqhldmq6mx,1,45.3,65.7,2025-03-07T18:02:31.059Z,2025-03-07T18:02:34Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5562377127,56,Back,5562377135,141,33.4,5562377145,213,4.51,5562377131,140,41.1,5562377139,212,22.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786313,23,1,1,2,12,ajtb177oqwawkdwbqhldmq6mx,1,41.8,24.7,2025-03-07T18:02:35.787Z,2025-03-07T18:02:38Z,6g671k5lvgoo2bgub2516q1w4,L. Henriksen,,,5562377321,213,2.28,5562377319,212,11.1,5562377317,141,37.0,5562377315,140,34.9,5562377313,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786345,24,1,1,2,14,ajtb177oqwawkdwbqhldmq6mx,1,33.8,41.3,2025-03-07T18:02:38.418Z,2025-03-07T18:02:41Z,8xe0fufxfgf5cuwgysz3r2j85,E. Christensen,,,5562377501,141,68.4,5562377499,140,39.8,5562377503,212,19.5,5562377505,213,1.24,5562377497,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786353,25,1,1,2,17,ajtb177oqwawkdwbqhldmq6mx,1,40.2,68.5,2025-03-07T18:02:40.962Z,2025-03-07T18:02:42Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5562377547,140,60.0,5562377545,56,Center,5562377553,213,6.28,5562377549,141,68.4,5562377551,212,20.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786385,26,1,1,2,18,ajtb177oqwawkdwbqhldmq6mx,1,60.0,68.4,2025-03-07T18:02:41.874Z,2025-03-07T18:02:45Z,ezbixgm2km8iapnsl57bn4wkp,M. Mouritz,,,5562377721,141,73.8,5562377719,140,43.9,5562377717,56,Back,5562377723,212,17.3,5562377725,213,2.93,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786407,27,1,1,2,22,ajtb177oqwawkdwbqhldmq6mx,0,43.1,67.8,2025-03-07T18:02:45.546Z,2025-03-07T18:02:46Z,6dki65mdd3letfjjj51i0w3c9,A. Heimer,,,5562377819,141,41.2,5562377821,212,46.3,5562377817,140,83.7,5562377825,1,,5562377815,56,Center,5562377823,213,5.88,5562377813,155,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786421,20,12,1,2,23,8cfkisxf1fkxdqtt6tx1tup48,1,26.8,60.8,2025-03-07T18:02:46.786Z,2025-03-07T18:02:52Z,2pm5oqzyonn0dysa5nszgq3xm,H. Bonnesen,,,5562377887,140,28.8,5562377889,141,84.4,5562377909,15,,5562377885,56,Back,5562377893,213,1.44,5562377891,212,16.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2784786469,28,61,1,2,28,ajtb177oqwawkdwbqhldmq6mx,0,78.0,23.9,2025-03-07T18:02:51.778Z,2025-03-07T18:13:04Z,e3n8xatusmgu7ttqpfdjanp3p,V. Hammershøy-Mistrati,,,5562378151,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
