id,eventId,typeId,periodId,timeMin,timeSec,contestantId,outcome,x,y,timeStamp,lastModified,playerId,playerName,keyPass,assist,qualifier/0/id,qualifier/0/qualifierId,qualifier/0/value,qualifier/1/id,qualifier/1/qualifierId,qualifier/1/value,qualifier/2/id,qualifier/2/qualifierId,qualifier/2/value,qualifier/3/id,qualifier/3/qualifierId,qualifier/3/value,qualifier/4/id,qualifier/4/qualifierId,qualifier/4/value,qualifier/5/id,qualifier/5/qualifierId,qualifier/5/value,qualifier/6/id,qualifier/6/qualifierId,qualifier/6/value,qualifier/7/id,qualifier/7/qualifierId,qualifier/7/value,qualifier/8/id,qualifier/8/qualifierId,qualifier/9/id,qualifier/9/qualifierId,qualifier/10/id,qualifier/10/qualifierId,qualifier/11/id,qualifier/11/qualifierId,qualifier/12/id,qualifier/12/qualifierId,qualifier/12/value,qualifier/13/id,qualifier/13/qualifierId,qualifier/13/value,qualifier/14/id,qualifier/14/qualifierId,qualifier/14/value,qualifier/15/id,qualifier/15/qualifierId,qualifier/15/value,qualifier/8/value,qualifier/9/value,qualifier/10/value,qualifier/11/value,qualifier/16/id,qualifier/16/qualifierId,qualifier/17/id,qualifier/17/qualifierId,qualifier/17/value,qualifier/18/id,qualifier/18/qualifierId,qualifier/18/value
2703403261,6,6,1,0,23,8cfkisxf1fkxdqtt6tx1tup48,0,3.6,38.5,2024-07-26T17:02:32.200Z,2024-07-27T21:26:12Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5117894315,56,Back,5117894485,73,,5117894491,233,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403265,13,6,1,0,23,dbl7ir1qugqz8nvp1vzn8im50,1,96.4,61.5,2024-07-26T17:02:32.200Z,2024-07-26T17:33:54Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5117894329,56,Center,5117894487,233,6,5117894331,73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403323,14,1,1,0,53,dbl7ir1qugqz8nvp1vzn8im50,0,99.5,99.5,2024-07-26T17:03:02.024Z,2024-07-27T21:26:10Z,97xbmht3t4t1p9iu6598oq7l5,A. Manneh,,,5117894713,141,46.4,5120543121,72,,5117894719,1,,5117894717,213,4.59,5117894711,140,95.3,5117894715,212,36.4,5117894705,155,,5117894701,2,,5117894707,224,5117894709,56,5117894703,6,,,,,,,,,,,,,,,,Center,,,,,,,,,,
2703403345,8,12,1,0,55,8cfkisxf1fkxdqtt6tx1tup48,1,9.9,44.0,2024-07-26T17:03:03.904Z,2024-07-26T19:08:49Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5117894815,212,15.6,5117894811,140,21.7,5118153747,189,,5117894809,56,Back,5117894813,141,57.9,5117894817,213,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403333,15,13,1,0,57,dbl7ir1qugqz8nvp1vzn8im50,1,82.1,44.0,2024-07-26T17:03:05.967Z,2024-07-27T21:26:56Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5118148331,108,,5118148329,18,,5117895079,231,47.5,5117894765,56,Center,5117895073,328,,5117895071,103,1.4,5117895075,458,,5117894835,25,,5117895069,102,5117894837,72,5117895063,84,5117895077,230,5120544751,215,,,,,,,,,,,41.2,,,98.2,,,,,,,,
2703403351,9,5,1,0,59,8cfkisxf1fkxdqtt6tx1tup48,1,-1.2,59.8,2024-07-26T17:03:07.607Z,2024-07-27T21:26:57Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5117894829,346,,5117894827,56,Back,5117894845,233,16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403335,16,5,1,0,59,dbl7ir1qugqz8nvp1vzn8im50,0,101.2,40.2,2024-07-26T17:03:07.607Z,2024-07-27T21:26:59Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5117894777,56,Center,5117894779,346,,5117894873,233,9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403403,10,1,1,1,21,8cfkisxf1fkxdqtt6tx1tup48,0,4.2,50.9,2024-07-26T17:03:30.223Z,2024-07-26T17:03:33Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5117895191,140,56.4,5117895187,124,,5117895195,212,54.8,5117895197,213,0.02,5117895201,74,,5117895199,1,,5117895189,56,Center,5117895193,141,52.4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403405,17,8,1,1,25,dbl7ir1qugqz8nvp1vzn8im50,1,40.0,58.7,2024-07-26T17:03:33.616Z,2024-07-27T21:27:14Z,ev2s21ogvpjtata4fndi868ve,J. Gomez,,,5117895233,15,,5117895203,56,Back,5120545545,384,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403431,11,1,1,1,29,8cfkisxf1fkxdqtt6tx1tup48,0,37.4,37.7,2024-07-26T17:03:37.736Z,2024-07-26T19:09:19Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5117895339,140,72.1,5117895343,212,41.0,5117895337,56,Center,5117895345,213,0.48,5117895341,141,65.4,5117895347,1,,5117895335,157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403435,18,1,1,1,31,dbl7ir1qugqz8nvp1vzn8im50,1,27.4,35.7,2024-07-26T17:03:39.728Z,2024-07-26T19:07:30Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5117895383,3,,5117895393,213,5.65,5117895389,141,16.5,5117895387,140,44.4,5117895391,212,22.1,5118150813,189,,5117895385,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403437,19,50,1,1,33,dbl7ir1qugqz8nvp1vzn8im50,1,45.0,25.9,2024-07-26T17:03:42.006Z,2024-07-26T19:07:51Z,5wmik73cqursg7sv3w14ue5pm,L. Deedson,,,5117895397,56,Back,5117903259,286,,5117903381,233,12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403449,12,7,1,1,33,8cfkisxf1fkxdqtt6tx1tup48,1,55.0,74.1,2024-07-26T17:03:42.007Z,2024-07-27T21:27:27Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5120546017,384,,5117903375,233,19,5117903357,285,,5117895483,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403451,13,1,1,1,37,8cfkisxf1fkxdqtt6tx1tup48,0,57.9,87.5,2024-07-26T17:03:45.625Z,2024-07-26T19:10:03Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5117895505,212,16.6,5117895501,140,73.0,5117895499,56,Left,5117895507,213,0.29,5117895503,141,94.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403477,21,1,1,1,40,dbl7ir1qugqz8nvp1vzn8im50,1,19.2,5.5,2024-07-26T17:03:48.721Z,2024-07-26T17:03:53Z,e42jh6bbwn4aybdnysonrvutx,L. Owusu,,,5117895693,213,1.45,5117895689,141,15.6,5117895685,56,Back,5117895691,212,6.9,5117895687,140,20.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403491,22,1,1,1,45,dbl7ir1qugqz8nvp1vzn8im50,1,30.9,2.6,2024-07-26T17:03:53.655Z,2024-07-26T17:03:57Z,dqtarwrqvkopmzbt2ovp2dln9,B. Paulsen,,,5117895763,1,,5117895753,56,Center,5117895759,212,36.6,5117895757,141,23.1,5117895761,213,0.39,5117895755,140,63.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403513,23,1,1,1,48,dbl7ir1qugqz8nvp1vzn8im50,1,52.9,30.0,2024-07-26T17:03:57.255Z,2024-07-26T17:04:04Z,axyrfq1u8nwcj2ss5498u8qhg,L. Kjerrumgaard,,,5117895859,141,73.0,5117895863,213,1.44,5117895861,212,29.5,5117895855,56,Center,5117895857,140,56.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403517,24,1,1,1,55,dbl7ir1qugqz8nvp1vzn8im50,0,79.8,81.1,2024-07-26T17:04:04Z,2024-07-27T21:27:55Z,1mml4inucvyomv1dcog3c1pt5,N. Mickelson,,,5120547233,224,,5117895891,155,,5117895895,140,92.9,5117895897,141,40.3,5117895899,212,31.0,5117895901,213,5.17,5117895889,2,,5117895893,56,Center,5120547235,72,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403523,14,12,1,1,57,8cfkisxf1fkxdqtt6tx1tup48,1,3.6,69.0,2024-07-26T17:04:05.918Z,2024-07-26T17:04:09Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5117895939,15,,5117895917,56,Back,5117895921,141,67.3,5117895925,213,6.20,5117895919,140,17.2,5117895923,212,14.3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403531,25,13,1,2,0,dbl7ir1qugqz8nvp1vzn8im50,1,82.4,36.8,2024-07-26T17:04:08.478Z,2024-07-27T21:28:16Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5117896265,103,4.2,5117896267,328,,5117896273,231,48.9,5117896269,458,,5117896271,230,98.4,5117896263,102,39.5,5117907955,18,,5117895987,56,Center,5117907957,75,5117907959,108,5117895983,22,5117896081,72,5120548097,215,,,,,,,,,,,,,,,,,,,,,,
2703403539,15,5,1,2,1,8cfkisxf1fkxdqtt6tx1tup48,1,-0.8,60.8,2024-07-26T17:04:09.687Z,2024-07-26T17:04:10Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5117896033,233,26,5117896029,56,Back,5117896031,346,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403537,26,5,1,2,1,dbl7ir1qugqz8nvp1vzn8im50,0,100.8,39.2,2024-07-26T17:04:09.687Z,2024-07-26T17:04:10Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5117896027,346,,5117896025,56,Center,5117896051,233,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403659,16,1,1,2,26,8cfkisxf1fkxdqtt6tx1tup48,1,4.1,40.7,2024-07-26T17:04:34.600Z,2024-07-26T17:11:24Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5117896785,124,,5117896791,141,53.4,5117896787,56,Back,5117896795,213,1.62,5117896789,140,3.7,5117896793,212,8.6,5117896799,237,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403671,17,1,1,2,30,8cfkisxf1fkxdqtt6tx1tup48,1,4.5,52.5,2024-07-26T17:04:38.430Z,2024-07-26T17:04:42Z,dqqswfn9s1tdxjoslts8ks6xg,B. Bayrak,,,5117896855,56,Back,5117896861,212,17.2,5117896857,140,7.1,5117896859,141,27.6,5117896863,213,4.87,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403679,18,1,1,2,34,8cfkisxf1fkxdqtt6tx1tup48,1,9.3,27.1,2024-07-26T17:04:42.358Z,2024-07-26T19:10:55Z,am3509ake84cde1xhb9264i22,M. Gudmann,,,5117896899,140,29.4,5117896907,212,26.3,5117896903,141,50.3,5117896895,56,Back,5117896911,213,0.64,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403687,19,1,1,2,36,8cfkisxf1fkxdqtt6tx1tup48,0,28.4,50.1,2024-07-26T17:04:44.718Z,2024-07-26T17:04:45Z,3mcj3wypzq3lno1ehc0vif1sl,J. Arias,,,5117896981,141,52.5,5117896985,213,1.82,5117896977,56,Back,5117896983,212,1.7,5117896979,140,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403689,27,61,1,2,36,dbl7ir1qugqz8nvp1vzn8im50,1,71.3,38.8,2024-07-26T17:04:45.165Z,2024-07-26T17:05:23Z,e9o7q10wnhex4e8eo47mobbvt,J. Bonde,,,5117896987,56,Center,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403695,20,1,1,2,37,8cfkisxf1fkxdqtt6tx1tup48,1,25.9,49.7,2024-07-26T17:04:46.030Z,2024-07-26T17:04:47Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5117897017,56,Back,5117897015,3,,5117897023,212,14.6,5117897021,141,70.6,5117897025,213,1.35,5117897019,140,28.9,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403709,21,1,1,2,39,8cfkisxf1fkxdqtt6tx1tup48,1,35.1,74.2,2024-07-26T17:04:47.478Z,2024-07-26T19:11:20Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5117897101,212,13.5,5117897099,141,89.4,5117897103,213,0.87,5117897097,140,43.4,5117897095,56,Back,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403733,22,1,1,2,42,8cfkisxf1fkxdqtt6tx1tup48,1,64.0,92.4,2024-07-26T17:04:51.110Z,2024-07-26T17:04:54Z,1icurh5jrnw1e6jdgqxjnhdnu,G. Çulhacı,,,5117897253,140,58.9,5117897263,213,4.05,5117897259,212,8.7,5117897255,141,82.4,5117897251,56,Left,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403747,23,1,1,2,46,8cfkisxf1fkxdqtt6tx1tup48,1,61.0,70.3,2024-07-26T17:04:54.615Z,2024-07-26T17:04:57Z,619s1phj5bkgkug3aszc1y9cl,M. Jensen,,,5117897345,140,44.8,5117897349,212,17.2,5117897343,56,Back,5117897351,213,3.28,5117897347,141,66.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2703403753,24,1,1,2,49,8cfkisxf1fkxdqtt6tx1tup48,1,44.6,66.7,2024-07-26T17:04:57.806Z,2024-07-26T19:11:32Z,5nved2kta2hk8103hkyhq33hm,M. Jakobsen,,,5117897397,141,33.6,5117897395,140,37.5,5117897393,56,Back,5117897401,213,4.39,5117897399,212,23.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
